run_id,criterion_id,stratum,selection_probability,seed,sampling_script,condition,audit_id
run-066,T03-R03,T03|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0147
run-163,T08-R03,T08|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0148
run-191,T07-R05,T07|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0149
run-088,T04-R10,T04|grok|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0150
run-108,T05-R05,T05|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0151
run-030,T02-R06,T02|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0152
run-133,T06-R02,T06|grok|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0153
run-127,T06-R03,T06|opus5|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0154
run-067,T03-R05,T03|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0155
run-185,T07-R03,T07|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0156
run-145,T08-R02,T08|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0157
run-079,T04-R08,T04|opus5|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0158
run-186,T07-R02,T07|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0159
run-017,T01-R01,T01|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0160
run-067,T03-R02,T03|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0161
run-112,T05-R06,T05|grok|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0162
run-016,T01-R10,T01|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0163
run-087,T04-R01,T04|grok|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0164
run-104,T05-R11,T05|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0165
run-177,T07-R03,T07|grok|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0166
run-181,T07-R03,T07|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0167
run-106,T05-R06,T05|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0168
run-138,T06-R04,T06|sol|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0169
run-117,T05-R05,T05|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0170
run-051,T03-R09,T03|opus5|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0171
run-066,T03-R08,T03|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0172
run-037,T02-R11,T02|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0173
run-111,T05-R08,T05|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0174
run-024,T01-R06,T01|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0175
