run_id,criterion_id,condition,stratum,selection_probability,seed,sampling_script,audit_id
run-074,T04-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0266
run-125,T06-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0267
run-013,T01-R03,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0268
run-128,T06-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0269
run-012,T01-R09,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0270
run-015,T01-R05,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0271
run-175,T07-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0272
run-022,T01-R10,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0273
run-141,T06-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0274
run-060,T03-R07,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0275
run-012,T01-R07,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0276
run-007,T01-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0277
run-031,T02-R09,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0278
run-045,T02-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0279
run-152,T08-R02,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0280
run-077,T04-R05,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0281
run-037,T02-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0282
run-078,T04-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0283
run-171,T07-R02,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0284
run-176,T07-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0285
run-097,T05-R02,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0286
run-007,T01-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0287
run-028,T02-R01,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0288
run-114,T05-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0289
run-124,T06-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0290
run-040,T02-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0291
run-177,T07-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0292
run-056,T03-R02,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0293
run-044,T02-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0294
run-147,T08-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0295
run-054,T03-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0296
run-165,T08-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0297
run-045,T02-R09,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0298
run-174,T07-R05,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0299
run-094,T04-R06,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0300
run-044,T02-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0301
run-070,T03-R08,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0302
run-019,T01-R09,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0303
run-122,T06-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0304
run-141,T06-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0305
run-019,T01-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0306
run-153,T08-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0307
run-052,T03-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0308
run-026,T02-R07,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0309
run-114,T05-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0310
run-073,T04-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0311
run-106,T05-R02,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0312
run-134,T06-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0313
run-112,T05-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0314
run-072,T03-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0315
run-137,T06-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0316
run-079,T04-R14,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0317
